               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,             0.03064,             0.01878,           0.0051597,              0.9261,             0.87444,              0.9343,             0.66975,             0.02325,            0.010317,           0.0051725,           0.0040915,           0.0040915,           0.0040915
                  91,            0.030711,            0.018817,           0.0052938,              0.9198,             0.88526,             0.93159,             0.66226,            0.023806,            0.010986,           0.0044796,           0.0040725,           0.0040725,           0.0040725
                  92,            0.030946,            0.018538,           0.0055194,             0.94733,             0.86219,             0.94022,              0.6604,             0.02363,            0.010727,           0.0044226,           0.0040534,           0.0040534,           0.0040534
                  93,            0.030866,            0.018843,           0.0051274,             0.92938,             0.86372,             0.93515,             0.66275,            0.023112,            0.010681,           0.0049379,           0.0040341,           0.0040341,           0.0040341
                  94,            0.030268,            0.018813,           0.0051817,             0.93329,             0.90036,             0.94153,             0.66847,            0.023118,              0.0108,           0.0044111,           0.0040147,           0.0040147,           0.0040147
                  95,            0.030474,            0.018304,           0.0050427,             0.92701,             0.85683,             0.92476,             0.65937,            0.023528,            0.010873,           0.0049522,           0.0039951,           0.0039951,           0.0039951
                  96,             0.03055,            0.019153,           0.0051187,             0.94082,             0.87617,             0.93289,             0.67404,             0.02279,            0.010511,           0.0044105,           0.0039754,           0.0039754,           0.0039754
                  97,            0.030224,            0.018733,           0.0049533,             0.92235,              0.9064,               0.941,             0.67657,            0.022638,            0.010534,           0.0041165,           0.0039556,           0.0039556,           0.0039556
                  98,            0.030628,            0.018558,           0.0053258,             0.95066,             0.89297,             0.95026,             0.67914,            0.022724,            0.010258,           0.0038005,           0.0039357,           0.0039357,           0.0039357
                  99,            0.030596,            0.018737,           0.0053831,             0.95228,             0.86026,             0.93724,             0.65711,            0.023195,            0.010443,           0.0048084,           0.0039156,           0.0039156,           0.0039156
                 100,            0.029712,             0.01854,           0.0050117,               0.946,             0.87145,             0.93007,              0.6637,            0.023372,            0.010488,           0.0046015,           0.0038953,           0.0038953,           0.0038953
                 101,            0.029805,            0.018323,           0.0048489,             0.93339,              0.8859,             0.94338,             0.67106,             0.02324,            0.010534,           0.0042174,            0.003875,            0.003875,            0.003875
                 102,            0.030154,            0.018441,           0.0052497,             0.92711,             0.90447,             0.93698,             0.66894,            0.023348,            0.010527,           0.0045885,           0.0038545,           0.0038545,           0.0038545
                 103,            0.029737,            0.018318,            0.005054,             0.92595,             0.90365,             0.94073,             0.66346,            0.022923,            0.010334,           0.0043282,           0.0038339,           0.0038339,           0.0038339
                 104,            0.029882,            0.018064,           0.0052194,             0.93251,             0.91154,             0.94262,             0.66907,            0.023168,            0.010376,           0.0040715,           0.0038132,           0.0038132,           0.0038132
                 105,            0.029904,            0.018613,           0.0050361,             0.90771,             0.91315,             0.93649,             0.65971,            0.023321,            0.010445,           0.0043362,           0.0037924,           0.0037924,           0.0037924
                 106,            0.030063,             0.01859,           0.0053677,             0.93895,             0.88725,             0.93745,              0.6675,             0.02279,            0.010691,           0.0039758,           0.0037715,           0.0037715,           0.0037715
                 107,            0.030091,            0.018526,           0.0049884,             0.92791,             0.91051,             0.94844,             0.68152,            0.022716,            0.010541,           0.0036782,           0.0037504,           0.0037504,           0.0037504
                 108,            0.029696,            0.018359,           0.0046012,             0.93526,             0.89888,             0.94942,             0.68451,            0.022844,            0.010537,           0.0037919,           0.0037293,           0.0037293,           0.0037293
                 109,            0.029405,            0.017853,           0.0045007,             0.93223,             0.89703,             0.94337,             0.67288,            0.023022,            0.010256,           0.0042142,            0.003708,            0.003708,            0.003708
                 110,            0.029851,            0.017949,           0.0045493,              0.9144,             0.91177,             0.94437,             0.68405,            0.022379,            0.010329,            0.003958,           0.0036866,           0.0036866,           0.0036866
                 111,            0.029347,            0.017989,           0.0047553,             0.91691,             0.90125,             0.94291,             0.68506,            0.022397,            0.010296,           0.0041401,           0.0036652,           0.0036652,           0.0036652
                 112,            0.029654,            0.018551,           0.0051396,              0.9528,             0.87803,             0.94731,             0.68542,            0.022714,             0.01032,           0.0040404,           0.0036436,           0.0036436,           0.0036436
                 113,            0.029303,            0.017174,           0.0050734,              0.9362,             0.89329,             0.94297,             0.68666,            0.022478,            0.010129,           0.0040356,           0.0036219,           0.0036219,           0.0036219
                 114,            0.029371,            0.017678,           0.0049935,             0.94411,             0.90027,             0.94586,             0.69294,            0.022429,            0.010157,            0.003761,           0.0036001,           0.0036001,           0.0036001
                 115,            0.029258,            0.017434,           0.0048032,             0.92351,             0.90156,             0.94768,              0.6888,            0.022478,            0.010192,           0.0039408,           0.0035783,           0.0035783,           0.0035783
                 116,            0.029265,            0.018081,           0.0048398,             0.92516,              0.9087,             0.94651,             0.68608,            0.022172,            0.010064,           0.0043039,           0.0035563,           0.0035563,           0.0035563
                 117,            0.029022,            0.017305,           0.0044687,             0.94099,             0.91456,             0.95241,             0.70332,            0.021918,            0.010198,           0.0038255,           0.0035343,           0.0035343,           0.0035343
                 118,            0.028867,            0.017908,           0.0045365,              0.9461,             0.88794,             0.95105,             0.69112,            0.022403,            0.010224,           0.0042145,           0.0035122,           0.0035122,           0.0035122
                 119,            0.029207,            0.017816,            0.004735,             0.93994,             0.92642,             0.95699,             0.70286,            0.022103,            0.010271,           0.0033468,           0.0034899,           0.0034899,           0.0034899
                 120,            0.029055,            0.017669,           0.0046017,             0.95715,              0.8949,             0.95254,             0.69823,            0.021952,             0.01022,            0.003702,           0.0034677,           0.0034677,           0.0034677
                 121,            0.029277,            0.017864,           0.0046218,             0.94816,             0.89214,             0.95247,             0.69562,             0.02246,            0.010314,            0.003523,           0.0034453,           0.0034453,           0.0034453
                 122,            0.029022,            0.018029,           0.0043668,             0.92791,             0.92039,             0.95356,             0.68834,            0.022494,            0.010306,           0.0033274,           0.0034228,           0.0034228,           0.0034228
                 123,            0.028842,            0.017596,           0.0044497,             0.96441,             0.88826,             0.95257,             0.68474,            0.022341,            0.010218,           0.0034344,           0.0034003,           0.0034003,           0.0034003
                 124,            0.028914,             0.01745,           0.0045515,             0.94252,             0.92266,             0.95491,             0.69767,            0.022191,            0.010007,           0.0032819,           0.0033777,           0.0033777,           0.0033777
                 125,            0.028791,            0.017416,           0.0044365,             0.92515,              0.9266,              0.9579,             0.70177,            0.021927,           0.0097873,           0.0035653,           0.0033551,           0.0033551,           0.0033551
                 126,            0.028562,            0.017607,           0.0046587,              0.9388,             0.90856,             0.95468,             0.68864,            0.022266,             0.01029,           0.0036872,           0.0033323,           0.0033323,           0.0033323
                 127,            0.028527,            0.017121,           0.0043613,             0.92492,             0.91129,             0.95363,             0.69557,             0.02243,            0.010269,           0.0038093,           0.0033096,           0.0033096,           0.0033096
                 128,            0.028321,            0.017449,           0.0043377,             0.94463,             0.92093,             0.95392,               0.695,            0.022133,           0.0099937,             0.00341,           0.0032867,           0.0032867,           0.0032867
                 129,            0.028233,            0.017688,           0.0044871,             0.94791,             0.89875,              0.9508,             0.69453,            0.021937,            0.010058,           0.0035283,           0.0032638,           0.0032638,           0.0032638
                 130,            0.028431,             0.01716,           0.0046826,             0.92884,             0.91078,             0.95046,              0.7001,            0.022177,             0.01011,           0.0035347,           0.0032408,           0.0032408,           0.0032408
                 131,            0.028513,            0.017954,           0.0044336,             0.92039,             0.92639,              0.9494,             0.69871,            0.021904,            0.010036,           0.0037568,           0.0032178,           0.0032178,           0.0032178
                 132,             0.02859,            0.017603,            0.004455,             0.94624,             0.90043,             0.95272,             0.69922,            0.021721,            0.010062,           0.0035244,           0.0031947,           0.0031947,           0.0031947
                 133,            0.028385,            0.016912,           0.0045696,             0.92701,             0.90801,             0.94809,             0.70069,            0.022028,            0.010149,           0.0038289,           0.0031716,           0.0031716,           0.0031716
                 134,            0.028533,            0.017392,           0.0046672,             0.91718,              0.9173,             0.94969,             0.70542,            0.021614,           0.0099583,           0.0039724,           0.0031484,           0.0031484,           0.0031484
                 135,            0.028299,            0.017381,           0.0043822,             0.94398,              0.8935,             0.94834,             0.69744,            0.021776,           0.0098863,           0.0041499,           0.0031252,           0.0031252,           0.0031252
                 136,            0.028128,            0.017232,            0.004496,             0.93401,             0.90015,             0.94776,              0.6966,            0.021947,           0.0099849,           0.0040917,            0.003102,            0.003102,            0.003102
                 137,            0.028107,            0.017123,           0.0041698,             0.94899,             0.89158,             0.94786,             0.69904,            0.021879,            0.010042,           0.0041057,           0.0030787,           0.0030787,           0.0030787
                 138,            0.027991,            0.017203,           0.0040022,             0.94533,              0.8994,             0.94723,             0.69671,            0.021809,           0.0099255,           0.0039308,           0.0030554,           0.0030554,           0.0030554
