               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.026591,            0.016496,           0.0041429,             0.96504,              0.9095,             0.96067,             0.72749,            0.021248,           0.0096606,           0.0031962,           0.0031716,           0.0031716,           0.0031716
                 134,            0.026532,            0.016813,           0.0037659,             0.94597,             0.92257,             0.95693,             0.72214,             0.02137,           0.0098106,           0.0032338,           0.0031484,           0.0031484,           0.0031484
                 135,            0.026309,            0.015861,           0.0039926,             0.93928,               0.915,             0.95458,             0.72076,            0.020943,           0.0098286,           0.0035403,           0.0031252,           0.0031252,           0.0031252
                 136,            0.026244,            0.016564,           0.0037556,             0.95683,             0.90646,             0.95549,              0.7261,            0.020725,           0.0098267,           0.0034154,            0.003102,            0.003102,            0.003102
                 137,            0.025656,             0.01583,           0.0039718,             0.94637,             0.89117,             0.94557,             0.71066,            0.021126,            0.010035,             0.00441,           0.0030787,           0.0030787,           0.0030787
                 138,            0.025817,            0.016281,           0.0037795,              0.9409,             0.91387,             0.94916,             0.72346,            0.020788,           0.0097398,           0.0042179,           0.0030554,           0.0030554,           0.0030554
                 139,            0.025813,            0.015973,           0.0035562,             0.93036,             0.91647,              0.9532,             0.72385,            0.020924,           0.0097319,           0.0042534,            0.003032,            0.003032,            0.003032
                 140,            0.026159,            0.016323,           0.0038182,             0.94242,             0.89308,             0.94961,             0.71896,            0.020923,            0.009657,           0.0047325,           0.0030086,           0.0030086,           0.0030086
                 141,            0.025985,            0.015752,           0.0038662,             0.93697,             0.91608,             0.95485,             0.72652,            0.020611,           0.0096968,           0.0039805,           0.0029852,           0.0029852,           0.0029852
                 142,            0.026353,            0.016135,            0.004063,             0.94528,             0.89607,             0.94384,             0.71502,             0.02073,           0.0098181,           0.0044159,           0.0029617,           0.0029617,           0.0029617
                 143,            0.025715,            0.016173,           0.0040922,             0.93423,             0.92006,             0.95357,             0.72958,            0.020553,           0.0097673,            0.003541,           0.0029383,           0.0029383,           0.0029383
                 144,             0.02554,            0.016401,           0.0039251,             0.93834,             0.91874,             0.94924,             0.72029,            0.020515,           0.0098645,            0.003817,           0.0029148,           0.0029148,           0.0029148
                 145,            0.025756,             0.01616,           0.0037891,             0.93557,              0.9228,             0.95928,             0.72839,             0.02039,           0.0098931,           0.0033235,           0.0028913,           0.0028913,           0.0028913
                 146,            0.025423,            0.015619,           0.0037751,             0.94567,             0.91493,             0.95952,             0.73218,            0.020256,           0.0098101,           0.0034609,           0.0028678,           0.0028678,           0.0028678
                 147,            0.025591,            0.015672,           0.0036419,             0.93856,             0.92169,             0.95839,             0.73054,            0.020525,           0.0096928,           0.0039069,           0.0028442,           0.0028442,           0.0028442
                 148,             0.02606,            0.016472,           0.0037124,             0.95262,             0.91586,             0.95785,             0.73346,            0.020602,           0.0097329,           0.0035646,           0.0028207,           0.0028207,           0.0028207
